temperature,x,y,z,class
27,-2.25,1.5,1,3
33,0.8,1.4,0.75,3
30,-1.5,1.3,1,3
28,-2.5,1.2,0.8,3
27,-1.1,1.1,1.5,3
30,-0.5,1,1.3,3
30,0.5,0.5,1,3
31,0.2,1.7,0.2,3
32,0.1,1.8,1,3
34,-2,2,1.2,3
35,-1.2,2,1,3
36,-1.3,1.78,0.9,3
27,-1.4,1.841818182,1,3
33,-2.25,1.903636364,1.4,3
30,0.8,1.965454545,1,3
28,-1.5,2.027272727,1,3
27,-2.5,2.089090909,1.6,3
30,-1.1,2.150909091,1,3
30,-0.5,2.212727273,1.8,3
31,0.5,2.274545455,1,3
32,0.2,2.336363636,0.5,3
34,0.1,2.398181818,0.6,3
35,-2,2.46,1,3
36,-1.2,2.521818182,0.7,3
27,-2.25,1.5,1,3
33,0.8,1.4,0.75,3
30,-1.5,1.3,1,3
28,-2.5,1.2,0.8,3
27,-1.1,1.1,1.5,3
30,-0.5,1,1.3,3
30,0.5,0.5,1,3
31,0.2,1.7,0.2,3
32,0.1,1.8,1,3
34,-2,2,1.2,3
35,-1.2,2,1,3
36,-1.3,1.78,0.9,3
27,-1.4,1.841818182,1,3
33,-2.25,1.903636364,1.4,3
30,0.8,1.965454545,1,3
28,-1.5,2.027272727,1,3
27,-2.5,2.089090909,1.6,3
30,-1.1,2.150909091,1,3
30,-0.5,2.212727273,1.8,3
31,0.5,2.274545455,1,3
32,0.2,2.336363636,0.5,3
34,0.1,2.398181818,0.6,3
35,-2,2.46,1,3
36,-1.2,2.521818182,1,3
23,-1.75,1.3,0.5,2
29,1.3,1.2,0.25,2
26,-1,1.1,0.5,2
24,-2,1,0.3,2
23,-0.6,0.9,1,2
26,0,0.8,0.8,2
26,1,0.3,0.5,2
27,0.7,1.5,-0.3,2
28,0.6,1.6,0.5,2
30,-1.5,1.8,0.7,2
31,-0.7,1.8,0.5,2
32,-0.8,1.58,0.4,2
23,-0.9,1.641818182,0.5,2
29,-1.75,1.703636364,0.9,2
26,1.3,1.765454545,0.5,2
24,-1,1.827272727,0.5,2
23,-2,1.889090909,1.1,2
26,-0.6,1.950909091,0.5,2
26,0,2.012727273,1.3,2
27,1,2.074545455,0.5,2
28,0.7,2.136363636,0,2
30,0.6,2.198181818,0.1,2
31,-1.5,2.26,0.5,2
32,-0.7,2.321818182,0.2,2
23,-1.75,1.3,0.5,2
29,1.3,1.2,0.25,2
26,-1,1.1,0.5,2
24,-2,1,0.3,2
23,-0.6,0.9,1,2
26,0,0.8,0.8,2
26,1,0.3,0.5,2
27,0.7,1.5,-0.3,2
28,0.6,1.6,0.5,2
30,-1.5,1.8,0.7,2
31,-0.7,1.8,0.5,2
32,-0.8,1.58,0.4,2
23,-0.9,1.641818182,0.5,2
29,-1.75,1.703636364,0.9,2
26,1.3,1.765454545,0.5,2
24,-1,1.827272727,0.5,2
23,-2,1.889090909,1.1,2
26,-0.6,1.950909091,0.5,2
26,0,2.012727273,1.3,2
27,1,2.074545455,0.5,2
28,0.7,2.136363636,0,2
30,0.6,2.198181818,0.1,2
31,-1.5,2.26,0.5,2
32,-0.7,2.321818182,0.2,2
22,-1.25,1.3,0.5,1
28,1.8,1.2,0.25,1
25,-0.5,1.1,0.5,1
23,-1.5,1,0.3,1
22,-0.1,0.9,1,1
25,0.5,0.8,0.8,1
25,1.5,0.3,0.5,1
26,1.2,1.5,-0.3,1
27,1.1,1.6,0.5,1
29,-1,1.8,0.7,1
30,-0.2,1.8,0.5,1
31,-0.3,1.58,0.4,1
22,-0.4,1.641818182,0.5,1
28,-1.25,1.703636364,0.9,1
25,1.8,1.765454545,0.5,1
23,-0.5,1.827272727,0.5,1
22,-1.5,1.889090909,1.1,1
25,-0.1,1.950909091,0.5,1
25,0.5,2.012727273,1.3,1
26,1.5,2.074545455,0.5,1
27,1.2,2.136363636,0,1
29,1.1,2.198181818,0.1,1
30,-1,2.26,0.5,1
31,-0.2,2.321818182,0.2,1
22,-1.25,1.3,0.5,1
28,1.8,1.2,0.25,1
25,-0.5,1.1,0.5,1
23,-1.5,1,0.3,1
22,-0.1,0.9,1,1
25,0.5,0.8,0.8,1
25,1.5,0.3,0.5,1
26,1.2,1.5,-0.3,1
27,1.1,1.6,0.5,1
29,-1,1.8,0.7,1
30,-0.2,1.8,0.5,1
31,-0.3,1.58,0.4,1
22,-0.4,1.641818182,0.5,1
28,-1.25,1.703636364,0.9,1
25,1.8,1.765454545,0.5,1
23,-0.5,1.827272727,0.5,1
22,-1.5,1.889090909,1.1,1
25,-0.1,1.950909091,0.5,1
25,0.5,2.012727273,1.3,1
26,1.5,2.074545455,0.5,1
27,1.2,2.136363636,0,1
29,1.1,2.198181818,0.1,1
30,-1,2.26,0.5,1
31,-0.2,2.321818182,0.2,1
20,0,0,0.4,0
21,0,0,0.5,0
22,0,0,0.9,0
23,0,0,0.5,0
24,0,1,0.5,0
25,0,1,1.1,0
26,0,1,0.5,0
27,0,1,1.3,0
28,0,1,0.5,0
29,-0.1,0,0,0
30,-0.2,0,0.1,0
22,-0.3,0,0.5,0
25,0,0,0.2,0
25,0,0,0.5,0
25,0,1,0.25,0
25,0,1,0.5,0
25,0,1,0.3,0
25,0,1,1,0
26,-0.5,0,0.8,0
26,0,0,0.5,0
26,0,0,-0.3,0
26,0,1,0.5,0
24,0,1,0.7,0
24,-0.1,1,0.5,0
24,-0.7,1,0.4,0
24,-0.1,0,0.5,0
25,-0.2,0,0.9,0
25,-0.5,0,0.5,0
26,-0.1,1,0.5,0
26,-0.6,1,1.1,0
27,-0.2,1,0.5,0
